entity_name,state,entity_type,individuals_affected,breach_date,breach_type,breach_location,business_associate,description,source,entity_type_raw,breach_type_raw,state_raw,breach_location_raw,year,month,quarter,day_of_week,year_month,severity,log_individuals,is_estimated,quality_flag
Lake Pulmonary Critical PA,FL,Other,648.0,2016-04-20,Theft,Paper/Films,No,This case was consolidated into another review of this covered entity.   ,archive,Healthcare Provider,Theft,FL,Paper/Films,2016,4,2016Q2,Wednesday,2016-04,Low,6.47543271670409,False,
The Carpenter Health Network,LA,Other,878.0,2025-05-06,Hacking/IT Incident,Network Server,No,,under_investigation,Healthcare Provider,Hacking/IT Incident,LA,Network Server,2025,5,2025Q2,Tuesday,2025-05,Low,6.778784897685177,False,
AdventHealth  ,FL,Other,315337.0,2020-10-20,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), AdventHealth, reported that its business associate experienced a ransomware attack affecting the electronic protected health information (ePHI) of 315,337 individuals.  The ePHI involved included names, mailing and email addresses, telephone numbers, dates of birth, financial information, gender, and other treatment information.  The CE notified HHS, affected individuals, the media, and provided substitute notice.",archive,Healthcare Provider,Hacking/IT Incident,FL,Network Server,2020,10,2020Q4,Tuesday,2020-10,Critical,12.661400358410733,False,
Julie D. Kinsler DDS LLC dba Kinsler Family Dentistry,IN,Other,5500.0,2024-08-12,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Julie D. Kinsler DDS dba Kinsler Family Dentistry, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 5,500 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, lab results, medications, diagnoses, and other treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect PHI.",archive,Healthcare Provider,Hacking/IT Incident,IN,Network Server,2024,8,2024Q3,Monday,2024-08,Medium,8.612685172875459,False,
"CareATC, Inc.",OK,Other,98774.0,2021-08-27,Hacking/IT Incident,Email,No,"The covered entity (CE), CareATC, reported that several employees were subject to an email phishing attack that compromised the protected health information (PHI) of 98,774 individuals. The PHI involved included names, addresses, dates of birth, drivers’ license and Social Security numbers, claims information, medications, diagnoses, and lab results. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards to better protect PHI. Workforce members were also retrained.",archive,Healthcare Provider,Hacking/IT Incident,OK,Email,2021,8,2021Q3,Friday,2021-08,High,11.50059981527959,False,
"Hal Meadows, M.D.",CA,Other,6000.0,2016-09-23,Hacking/IT Incident,Desktop,No,"The cover entity CE), Dr. Hal Meadows (HM) reported a breach that occurred when its electronic patient billing files were unlawfully accessed on a desktop computer in the CE’s office.  The breach affected approximately 6,000 individuals who were the CE’s  patients.  The electronic protected health information (ePHI) involved included full names, addresses, dates of birth, telephone numbers, some social security numbers, claims information, diagnosis/conditions, lab results, medications, treatment codes, and billing information.  The CE provided breach notification to HHS, affected individuals, and the media, and also provided substitute notice.  Following the breach, the CE also immediately reported the incident to the FBI.  As a result of this incident, the CE updated its policies and procedures, and contracted with a company to provide an encrypted cloud-based billing system in order to safeguard ePHI.  OCR obtained assurances that the CE implemented the corrective actions above.",archive,Healthcare Provider,Hacking/IT Incident,CA,Desktop Computer,2016,9,2016Q3,Friday,2016-09,Medium,8.699681400989514,True,
Sierra Plastic Surgery,NV,Other,800.0,2012-09-05,Hacking/IT Incident,Network Server,No,\N,archive,Healthcare Provider,"Hacking/IT Incident, Unauthorized Access/Disclosure",NV,Network Server,2012,9,2012Q3,Wednesday,2012-09,Low,6.68586094706836,False,
"Colorado Department of Human Services, Office of Behavioral Health",CO,Other,8132.0,2020-04-07,Unauthorized Access/Disclosure,Network Server,No,"Colorado Department of Human Services, Office of Behavioral Health, the covered entity (CE), reported that the electronic protected health information (ePHI) of 8,132 individuals was accessible to unauthorized staff members.  The ePHI involved included names, addresses, birthdates, Social Security numbers, claims information, financial information, diagnoses/conditions, and other treatment information.  The CE determined that the ePHI was not publicly accessible; there was no evidence that its staff members improperly viewed, acquired, or used the PHI.  OCR provided the CE with technical assistance regarding what constitutes a breach under the HIPAA Rules.",archive,Healthcare Provider,Unauthorized Access/Disclosure,CO,Network Server,2020,4,2020Q2,Tuesday,2020-04,Medium,9.003685138166775,False,
Mercy Health Saint Mary's,MI,Other,976.0,2019-05-24,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Mercy Health Saint Mary’s, reported that it experienced a malware attack that affected the electronic protected health information (ePHI) of 976 individuals.  The ePHI involved included names, addresses, dates of birth, and Social Security numbers.  The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.  The CE provided complimentary credit monitoring and identity protection services.  In response to the breach, the CE strengthened its technical safeguards to better protect its sensitive data.",archive,Healthcare Provider,Hacking/IT Incident,MI,Network Server,2019,5,2019Q2,Friday,2019-05,Low,6.884486652042782,False,
"North Texas Heart Center, P.A.",TX,Other,4210.0,2016-11-21,Theft,Portable Device,No,"OCR opened an investigation of the covered entity (CE), North Texas Heart Center, after it reported, on behalf of its business associate (BA), Ambucor, that law enforcement discovered mobile computer drives containing the electronic protected health information (ePHI) of 4,210 individuals in connection with the activities of a former employee.  The ePHI included patients’ names, dates of birth, addresses, social security numbers, laboratory results, and other treatment information.  Upon discovering the breach, the BA worked with federal law enforcement to recover the mobile devices.  OCR obtained a draft copy of the BA's breach notification to individuals and the media.  The BA offered one year of free credit monitoring services to affected individuals.  OCR initiated a separate investigation of the BA.",archive,Healthcare Provider,Theft,TX,Other Portable Electronic Device,2016,11,2016Q4,Monday,2016-11,Medium,8.345455428161928,False,
